"v1013","mes_nome","sexo","escolaridade","n_amostra","populacao_estimada","pct_trabalhou","pct_afastado_trabalho","pct_home_office","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"10","Outubro","Masculino","Pos-graduacao","3702","2385824.0","83.1998","20.2356","97.0145","6.7248","0.0"
"10","Outubro","Masculino","Fundamental incompleto","65106","3.3005228E7","48.0382","6.6134","3.6724","15.3049","16.4056"
"10","Outubro","Feminino","Fundamental completo","13071","6903808.0","28.7196","6.3514","43.4616","8.5399","16.2795"
"10","Outubro","Masculino","Medio completo","39405","2.4286984E7","67.8603","13.3913","33.6506","8.994","18.5464"
"10","Outubro","Masculino","Medio incompleto","18174","1.046815E7","44.5261","5.0779","11.3421","4.1637","41.1926"
"10","Outubro","Feminino","Medio completo","45380","2.5933932E7","42.7662","9.7929","66.3691","9.4684","52.4808"
"10","Outubro","Masculino","Superior completo","14055","9119634.0","75.7693","17.0531","91.131","3.584","0.0"
"10","Outubro","Feminino","Fundamental incompleto","63473","3.1575264E7","21.1255","4.1604","29.5686","11.8256","28.3756"
"10","Outubro","Feminino","Sem instrucao","20425","1.1368479E7","7.5932","1.1811","23.4396","17.9643","30.3686"
"10","Outubro","Feminino","Superior incompleto","10626","6583785.0","47.4092","10.6537","88.8514","5.0231","22.3353"
"10","Outubro","Masculino","Superior incompleto","9145","5919454.0","60.3803","9.0226","83.6593","3.9927","0.0"
"10","Outubro","Feminino","Pos-graduacao","6322","3487566.0","73.5807","24.9159","97.5597","10.6607","20.9998"
"10","Outubro","Feminino","Medio incompleto","17387","9551793.0","23.0089","4.4855","48.6098","5.5319","38.9769"
"10","Outubro","Feminino","Superior completo","21468","1.2716289E7","61.7412","17.8026","95.1072","3.9598","26.5295"
"10","Outubro","Masculino","Sem instrucao","20571","1.1579938E7","28.0559","3.1371","1.1585","18.4834","4.358"
"10","Outubro","Masculino","Fundamental completo","12151","6636419.0","57.2099","9.9877","10.1637","16.974","36.2081"
"11","Novembro","Masculino","Fundamental completo","12157","6586250.0","57.1651","9.2788","7.0769","9.7629","13.1583"
"11","Novembro","Feminino","Pos-graduacao","6375","3525742.0","73.5505","23.3117","97.0388","9.8999","9.2264"
"11","Novembro","Feminino","Medio completo","45612","2.5951707E7","43.3944","9.0378","64.7871","6.5155","13.615"
"11","Novembro","Masculino","Medio incompleto","18271","1.0514262E7","44.6695","5.0188","11.5046","7.9279","0.0"
"11","Novembro","Masculino","Superior completo","14167","9136046.0","75.8755","16.5311","90.5786","5.199","33.8805"
"11","Novembro","Masculino","Fundamental incompleto","64999","3.2968526E7","48.012","6.4903","4.485","11.3599","15.7634"
"11","Novembro","Masculino","Medio completo","39525","2.4315674E7","68.5375","12.5109","32.6523","7.9098","3.6017"
"11","Novembro","Feminino","Fundamental completo","13118","6886340.0","29.223","5.4981","43.0223","14.1445","21.5407"
"11","Novembro","Masculino","Pos-graduacao","3726","2392139.0","83.4369","24.8234","96.326","3.367","26.1199"
"11","Novembro","Feminino","Superior completo","21579","1.2742211E7","62.521","16.6273","95.4643","5.3795","27.925"
"11","Novembro","Feminino","Sem instrucao","20473","1.1389182E7","7.8014","1.0129","29.8418","11.2501","15.4331"
"11","Novembro","Feminino","Fundamental incompleto","63518","3.1474161E7","21.3063","3.9981","18.5555","10.0407","35.5937"
"11","Novembro","Feminino","Medio incompleto","17512","9634784.0","23.5678","3.9723","53.923","2.492","0.0"
"11","Novembro","Masculino","Sem instrucao","20618","1.161994E7","28.035","3.1553","0.9854","17.9577","6.7893"
"11","Novembro","Feminino","Superior incompleto","10640","6584824.0","47.7651","9.7183","88.3076","7.8965","0.0"
"11","Novembro","Masculino","Superior incompleto","9148","5930581.0","61.4798","7.9972","83.0411","4.5943","0.0"
"9","Setembro","Feminino","Superior incompleto","10834","6538768.0","45.6785","12.4876","88.9587","11.8842","18.5671"
"9","Setembro","Feminino","Fundamental incompleto","64479","3.1483441E7","20.7389","4.7743","23.9407","9.387","37.5358"
"9","Setembro","Masculino","Pos-graduacao","3758","2409524.0","82.7753","25.5114","98.0426","4.7368","0.0"
"9","Setembro","Feminino","Medio incompleto","17767","9653280.0","21.6364","5.4357","48.7723","4.5846","45.0103"
"9","Setembro","Feminino","Fundamental completo","13274","6880208.0","28.0024","7.0106","46.0163","8.051","0.0"
"9","Setembro","Masculino","Sem instrucao","21014","1.1507693E7","27.4348","3.5","1.7478","19.1117","29.4136"
"9","Setembro","Feminino","Pos-graduacao","6407","3496826.0","73.2892","27.8753","98.4185","1.2848","0.0"
"9","Setembro","Feminino","Sem instrucao","20934","1.1401221E7","7.8778","1.0682","23.6601","9.1243","49.0234"
"9","Setembro","Masculino","Medio completo","40058","2.4335099E7","66.3147","15.2392","35.2531","10.0954","27.2326"
"9","Setembro","Feminino","Superior completo","21807","1.2728601E7","60.6021","19.4222","95.3431","7.3063","15.6027"
"9","Setembro","Masculino","Fundamental completo","12321","6561162.0","56.0921","10.8882","8.0351","14.4195","30.8329"
"9","Setembro","Feminino","Medio completo","46060","2.5870489E7","41.2869","10.991","67.2536","7.3122","22.7487"
"9","Setembro","Masculino","Superior completo","14365","9148393.0","74.4344","19.0785","91.7023","8.8532","8.4142"
"9","Setembro","Masculino","Superior incompleto","9285","5872410.0","58.7691","10.9911","84.3655","6.7085","43.8391"
"9","Setembro","Masculino","Medio incompleto","18524","1.0418748E7","43.271","5.7796","12.492","5.303","0.0"
"9","Setembro","Masculino","Fundamental incompleto","66411","3.3086586E7","47.1707","7.9407","4.0882","10.4538","22.1749"
